KODE_KANTOR;KODE_JENIS_PINJAM;KETERANGAN_JENIS_PINJAM;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKTOBER;NOVEMBER;DESEMBER
12;1;KREDIT ANGSURAN TETAP (KAT);283.140.816;293.756.221;300.119.751;322.544.039;322.235.846;314.861.600;318.999.721;291.343.357;328.496.953;330.699.386;358.253.345;347.061.412
12;3;KREDIT TETAP KARYAWAN (KTK);3.627.153;3.608.744;3.687.544;3.481.260;3.464.768;3.649.089;2.769.400;2.869.240;2.818.089;2.714.770;2.731.958;2.620.531
12;5;KREDIT TANPA POTONGAN ( KTP );5.235.744;4.347.007;3.560.546;4.701.114;5.129.319;4.470.118;6.545.664;7.203.303;8.943.751;7.147.148;6.663.500;4.881.477
12;8;KREDIT ANGSURAN TETAP KHALIFAH ( KATK );4.860.591;2.999.015;2.950.040;2.900.227;2.849.567;2.798.043;2.745.638;2.645.201;2.985.960;2.923.729;3.242.656;2.790.909
12;24;KREDIT KOPi 2;3.803.314;5.190.895;5.557.750;4.829.040;7.996.917;7.666.728;8.034.834;9.902.320;6.541.289;7.147.069;7.800.150;10.515.132
12;25;KREDIT SERTIFIKASI/TUKIN KARYAWAN;4.852.580;15.139.516;5.297.857;4.267.096;10.386.667;4.891.290;11.110.000;7.051.290;9.928.169;7.893.810;11.487.448;9.436.824
13;1;KREDIT ANGSURAN TETAP (KAT);187.148.522;184.081.757;174.214.002;172.365.756;158.636.289;150.591.787;163.614.253;138.472.027;139.405.863;145.654.327;119.024.730;10.515.132
13;3;KREDIT TETAP KARYAWAN (KTK);3.267.549;4.161.952;4.086.382;4.850.693;6.727.121;5.878.984;6.231.568;5.260.069;5.198.909;5.134.491;5.075.510;9.436.824
13;8;KREDIT ANGSURAN TETAP KHALIFAH ( KATK );536.771;474.096;229.094;608.058;175.040;509.469;118.895;317.274;231.318;91.132;129.495;
13;24;KREDIT KOPi 2;70.139.189;101.125.509;85.810.359;93.050.687;127.740.088;150.820.901;153.540.089;150.599.671;178.320.475;192.382.528;214.583.908;213.195.619
13;25;KREDIT SERTIFIKASI/TUKIN KARYAWAN;4.080.645;3.211.935;15.042.679;11.687.983;12.668.500;14.265.430;21.722.809;17.980.611;17.704.781;36.165.624;26.229.425;32.803.212
14;1;KREDIT ANGSURAN TETAP (KAT);215.173.768;153.330.819;139.610.032;163.527.716;144.590.042;142.314.982;154.306.838;144.419.064;172.194.537;143.300.249;132.325.698;130.255.949
14;2;KREDIT POKOK TETAP (KPT);76.943.750;35.068.750;32.614.583;31.795.834;36.625.000;17.394.445;16.833.333;17.394.445;17.394.445;9.233.333;17.394.445;16.833.333
14;3;KREDIT TETAP KARYAWAN (KTK);4.298.962;4.445.103;4.130.106;4.066.150;4.001.819;3.937.114;3.872.032;3.806.571;3.740.726;3.674.498;3.607.884;3.540.881
14;6;KREDIT SINDIKASI ANGSURAN TETAP (KAT);294.856.974;203.967.585;159.553.967;197.887.974;141.961.748;210.463.623;165.269.945;77.309.177;140.542.272;174.037.158;127.303.865;257.852.668
14;7;KREDIT SINDIKASI POKOK TETAP (KPT);12.697.757;174.135.231;23.567.531;28.668.503;9.376.212;22.055.140;21.779.506;11.123.673;21.147.078;19.781.491;21.383.061;21.999.310
